schema_version,strategy_mode,candle_timeframe,timestamp,iso_year,iso_week,training_week_id,training_version,day_of_week,hour_utc,symbol,account_balance,account_equity,account_profit,account_currency,positions_count,trade_status,is_tradeable,decision_reason,failed_node,planned_direction,entry_price,stop_loss,take_profit,spread,target_value,target_progress,tick_dir,m1_dir,fib_dir,fib_zone,rsi,sar_dir,mtf_m1_dir,mtf_m5_dir,mtf_m15_dir,mtf_h1_dir,fib_ok,sar_ok,rsi_ok,confluence_score,quant_hurst,quant_reversion,quant_ofi,quant_kelly_lot,quant_z_score,quant_smoothness,m1_open,m1_high,m1_low,m1_close,m1_range,m1_body,m1_body_ratio,tick_count,tick_first_mid,tick_last_mid,tick_net_move,tick_up_moves,tick_down_moves,tick_directional_consistency,label_outcome,label_tp_before_sl,label_max_favorable,label_max_adverse,label_seconds_to_outcome
2,standard_live,M15,2026-05-11T12:30:00+00:00,2026,20,2026-W20,quick-scalp-2026-W20,0,12,XAUUSD,3491.490000,3491.490000,0.000000,KES,0,m30_setup_not_ready,0,m30_setup_not_ready,m30_setup,None,0.000000,0.000000,0.000000,0.340000,0.000000,0.000000,None,None,None,m30_setup_not_ready,0.000000,None,None,BULLISH,BULLISH,BEARISH,0,0,0,0,0.000000,0.000000,0.500000,1.000000,0.133170,1.000000,4657.410000,4663.570000,4650.450000,4662.850000,13.120000,5.440000,0.414634,1,4663.150000,4663.150000,0.000000,0,0,0.000000,,,,,
2,standard_live,M15,2026-05-11T12:30:00+00:00,2026,20,2026-W20,quick-scalp-2026-W20,0,12,XAUUSD,3491.490000,3491.490000,0.000000,KES,0,m30_setup_not_ready,0,m30_setup_not_ready,m30_setup,None,0.000000,0.000000,0.000000,0.340000,0.000000,0.000000,None,None,None,m30_setup_not_ready,0.000000,None,None,BULLISH,BULLISH,BEARISH,0,0,0,0,0.000000,0.000000,0.500000,1.000000,0.133170,1.000000,4657.410000,4663.570000,4650.450000,4662.850000,13.120000,5.440000,0.414634,1,4663.440000,4663.440000,0.000000,0,0,0.000000,,,,,
2,standard_live,M15,2026-05-11T09:45:40.648292+00:00,2026,20,2026-W20,quick-scalp-2026-W20,0,9,XAUUSD,0.000000,0.000000,0.000000,,0,top_down_trade_plan_ready,1,top_down_trade_plan_ready,,BULLISH,2350.000000,2345.000000,2365.000000,0.000000,2365.000000,0.000000,None,None,BULLISH,top_down_trade_plan_ready,0.000000,None,None,None,None,None,1,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2350.000000,2350.000000,2350.000000,2350.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,,,,,
2,standard_live,M15,2026-05-11T09:45:40.714214+00:00,2026,20,2026-W20,quick-scalp-2026-W20,0,9,XAUUSD,0.000000,0.000000,0.000000,,0,top_down_trade_plan_ready,1,top_down_trade_plan_ready,,BULLISH,2350.000000,2345.000000,2365.000000,0.000000,2365.000000,0.000000,None,None,BULLISH,top_down_trade_plan_ready,0.000000,None,None,None,None,None,1,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2350.000000,2350.000000,2350.000000,2350.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,,,,,
2,standard_live,M15,2026-05-11T09:45:40.745464+00:00,2026,20,2026-W20,quick-scalp-2026-W20,0,9,XAUUSD,0.000000,0.000000,0.000000,,0,top_down_trade_plan_ready,1,top_down_trade_plan_ready,,BULLISH,100.000000,98.700000,101.500000,0.040000,101.500000,0.000000,None,None,BULLISH,top_down_trade_plan_ready,0.000000,None,None,None,None,None,1,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,1,100.000000,100.000000,0.000000,0,0,0.000000,,,,,
2,standard_live,M15,2026-05-11T09:45:40.776715+00:00,2026,20,2026-W20,quick-scalp-2026-W20,0,9,XAUUSD,0.000000,0.000000,0.000000,,2,top_down_trade_plan_ready,1,top_down_trade_plan_ready,,BULLISH,109.000000,104.000000,124.000000,0.000000,124.000000,0.000000,None,None,BULLISH,top_down_trade_plan_ready,0.000000,None,None,None,None,None,1,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.000000,109.000000,109.000000,109.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,,,,,
2,standard_live,M15,2026-05-11T09:45:40.948589+00:00,2026,20,2026-W20,quick-scalp-2026-W20,0,9,XAUUSD,0.000000,0.000000,0.000000,,2,top_down_trade_plan_ready,1,top_down_trade_plan_ready,,BULLISH,106.500000,102.000000,119.000000,0.000000,119.000000,0.000000,None,None,BULLISH,top_down_trade_plan_ready,0.000000,None,None,None,None,None,1,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,106.500000,106.500000,106.500000,106.500000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,,,,,
2,standard_live,M15,2026-05-11T09:45:41.098239+00:00,2026,20,2026-W20,quick-scalp-2026-W20,0,9,XAUUSD,0.000000,0.000000,0.000000,,2,m10_setup_not_ready,0,m10_setup_not_ready,m10_setup,None,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,None,None,m10_setup_not_ready,0.000000,None,None,None,None,None,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,115.000000,115.000000,115.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,,,,,
2,standard_live,M15,2026-05-11T09:45:41.198038+00:00,2026,20,2026-W20,quick-scalp-2026-W20,0,9,XAUUSD,0.000000,0.000000,0.000000,,1,master_equation_flat,0,master_equation_flat,quant_engine,None,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,None,None,master_equation_flat,0.000000,None,None,None,None,BULLISH,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,115.000000,115.000000,115.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,,,,,
2,standard_live,M15,2026-05-11T09:45:41.283719+00:00,2026,20,2026-W20,quick-scalp-2026-W20,0,9,XAUUSD,0.000000,0.000000,0.000000,,1,master_equation_flat,0,master_equation_flat,quant_engine,None,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,None,None,master_equation_flat,0.000000,None,None,None,None,BULLISH,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,115.000000,115.000000,115.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,,,,,
